id,permission_name,permission_code,permission_type,permission_url,pid
100,系统管理,ums:permission,menu,,0
101,权限管理,ums:permission:list,path,/permission,100
102,新增权限,ums:permission:create,auth,,101
103,获取权限,ums:permission:read,auth,,101
104,修改权限,ums:permission:update,auth,,101
105,删除权限,ums:permission:delete,auth,,101
106,角色管理,ums:role,path,/role,100
107,新增角色,ums:role:create,auth,,106
109,获取角色,ums:role:read,auth,,106
108,修改角色,ums:role:update,auth,,106
110,删除角色,ums:role:delete,auth,,106
111,部门管理,ums:department,path,/department,100
112,新建部门,ums:department:create,auth,,111
113,获取部门,ums:department:read,auth,,111
114,修改部门,ums:department:update,auth,,111
115,删除部门,ums:department:delete,auth,,111
116,用户管理,ums:user,path,/user,100
117,新增用户,ums:user:create,auth,,116
118,获取用户,ums:user:read,auth,,116
119,修改用户,ums:user:update,auth,,116
120,删除用户,ums:user:delete,auth,,116
